Last Name,First Name,Email,School ID,Primary Specialist,Extensions to assignment deadlines,Use of recording device in class,Absences,150% time,200% time,COVID-19 Video Proctoring,Reduced distraction,Rest breaks during exam,Sonocent authorization
bot,evan,evanbot@berkeley.edu,3031234567,JA'CINTA MIXSON,Yes,Yes,,,Yes,,Yes,Yes,
davis,viola,codabot@berkeley.edu,3032345678,Sarah Lucckesi,Yes,,,,Yes,,,Yes,
bot,coda,pintobot@berkeley.edu,3033456789,JA'CINTA MIXSON,Yes,Yes,,Yes,,Yes,Yes,,Yes
vance,vron,vronvance@gmail.com,3032277288,MATTHEW ALVAREZ,Yes,,,,Yes,,,,
,,,,Sarah Lucckesi,Yes,,,Yes,,,,,
,,,,MATTHEW ALVAREZ,,Yes,,Yes,,,Yes,,
,,,,Sarah Lucckesi,,,,Yes,,,,,
,,,,Sarah Lucckesi,Yes,,,Yes,,,,,
,,,,JULIE GREENE,,,,Yes,,,Yes,,
,,,,MATTHEW ALVAREZ,,,,Yes,,,,Yes,
,,,,Kevin Britt,,Yes,,Yes,,,,,
,,,,JA'CINTA MIXSON,Yes,,Yes,,,,,,
,,,,Sarah Lucckesi,Yes,,Yes,Yes,,,Yes,,
