Timestamp,Email Address,Student ID,Format,Start Day,Start Time,End Time,Exam Length,Accommodations (from student),Accommodations (from roster),Notes (from roster),Updated Accommodations,Updated Notes,Approved,cc,Merge status
,evanbot@berkeley.edu,3031234567,,,,,200%,,None,Hello,,,FALSE,head_TA@email.com,
,,3033456789,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,head_TA@email.com,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
,,,,,,,,,,,,,FALSE,,
