Student ID,Name,Email,Start Day,Start Time,End Time,Format,Deadline (for exam tool),No Watermark (for exam tool),Proctoring link (if remote),Accommodations,Notes
3031234567,EvanBot,evanbot@berkeley.edu,1/1/2021,12:00 AM,1:00 AM,Remote,1609488000,1,,None,Hello
3032345678,CodaBot,codabot@berkeley.edu,10/1/2021,5:00 PM,8:00 PM,In-person,1633143600,1,,150% DSP,
3033456789,PintoBot,pintobot@berkeley.edu,10/1/2021,5:00 PM,9:00 PM,Test format,1633147200,1,,Test accommodations hello world,
1000001,Test Student 0001,cs161-staff+devnull0001@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000002,Test Student 0002,cs161-staff+devnull0002@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000003,Test Student 0003,cs161-staff+devnull0003@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000004,Test Student 0004,cs161-staff+devnull0004@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000005,Test Student 0005,cs161-staff+devnull0005@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000006,Test Student 0006,cs161-staff+devnull0006@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000007,Test Student 0007,cs161-staff+devnull0007@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000008,Test Student 0008,cs161-staff+devnull0008@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000009,Test Student 0009,cs161-staff+devnull0009@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000010,Test Student 0010,cs161-staff+devnull0010@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000011,Test Student 0011,cs161-staff+devnull0011@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000012,Test Student 0012,cs161-staff+devnull0012@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000013,Test Student 0013,cs161-staff+devnull0013@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000014,Test Student 0014,cs161-staff+devnull0014@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000015,Test Student 0015,cs161-staff+devnull0015@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000016,Test Student 0016,cs161-staff+devnull0016@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000017,Test Student 0017,cs161-staff+devnull0017@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000018,Test Student 0018,cs161-staff+devnull0018@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000019,Test Student 0019,cs161-staff+devnull0019@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000020,Test Student 0020,cs161-staff+devnull0020@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000021,Test Student 0021,cs161-staff+devnull0021@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000022,Test Student 0022,cs161-staff+devnull0022@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000023,Test Student 0023,cs161-staff+devnull0023@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000024,Test Student 0024,cs161-staff+devnull0024@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000025,Test Student 0025,cs161-staff+devnull0025@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000026,Test Student 0026,cs161-staff+devnull0026@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000027,Test Student 0027,cs161-staff+devnull0027@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000028,Test Student 0028,cs161-staff+devnull0028@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000029,Test Student 0029,cs161-staff+devnull0029@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000030,Test Student 0030,cs161-staff+devnull0030@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000031,Test Student 0031,cs161-staff+devnull0031@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000032,Test Student 0032,cs161-staff+devnull0032@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000033,Test Student 0033,cs161-staff+devnull0033@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000034,Test Student 0034,cs161-staff+devnull0034@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000035,Test Student 0035,cs161-staff+devnull0035@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000036,Test Student 0036,cs161-staff+devnull0036@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000037,Test Student 0037,cs161-staff+devnull0037@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000038,Test Student 0038,cs161-staff+devnull0038@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000039,Test Student 0039,cs161-staff+devnull0039@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000040,Test Student 0040,cs161-staff+devnull0040@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000041,Test Student 0041,cs161-staff+devnull0041@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000042,Test Student 0042,cs161-staff+devnull0042@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
1000043,Test Student 0043,cs161-staff+devnull0043@berkeley.edu,10/1/2021,5:00 PM,7:00 PM,In-person,1633140000,1,,,
